ell,a,peak_height,r_peak,rstar_width_halfmax,curvature_rstar_at_peak
0,0.0,0.026367187486865406,2.6666423690918775,7.875025361530263,-0.002780925910248183
0,0.1,0.026342498062551435,2.6697394078632675,7.889482769238548,-0.0027774789316307507
0,0.2,0.02626883195049963,2.677636557515903,7.885798846999542,-0.002768607059241843
0,0.35,0.02606920305025545,2.7001659800706,7.881742154410873,-0.002743449310686321
0,0.5,0.025768953619497163,2.733126746523005,7.893113334915398,-0.002706756697589719
0,0.75,0.02507224962465556,2.8135067362681556,7.928520414150491,-0.0026186012283408123
0,1.0,0.024179594762082424,2.9215238022965715,7.967726551302654,-0.002503110072551607
1,0.0,0.09926156711162039,2.8853492070140505,9.340225598353214,-0.00804761636717249
1,0.1,0.09911201028294853,2.8886308214813954,9.342408721533218,-0.008030735711741989
1,0.2,0.09866659541190753,2.8984490030345333,9.348945590547942,-0.007980453482990313
1,0.35,0.09746648148467973,2.9222639189470736,9.362380934278818,-0.007860226363080635
1,0.5,0.09568003573960102,2.960069328017831,9.394755992101004,-0.007673426944632115
1,0.75,0.0916190375120814,3.0511430341243484,9.47504305396511,-0.007243609538932698
1,1.0,0.08658132971593883,3.1700969610279612,9.574111118672292,-0.006723504539937005
2,0.0,0.24711674367386494,2.9510693323940322,9.64843188356199,-0.018957280424836763
2,0.1,0.2467201529605685,2.954405403997175,9.650769305225232,-0.018915457622398178
2,0.2,0.24553935893783607,2.9643863778885806,9.657767498595462,-0.01879095433827569
2,0.35,0.24235997420018238,2.9901013730393666,9.676904751177382,-0.01847461045272332
2,0.5,0.23763307059979472,3.03006399274427,9.719361510010742,-0.017995143703979196
2,0.75,0.2269140873828158,3.1258010482711,9.807526476239524,-0.016903982548746994
2,1.0,0.2136695684088811,3.251626918585219,9.920711238684746,-0.015585673056644964
3,0.0,0.46924340486856225,2.9738143664027685,9.73745632882327,-0.03539481949766634
3,0.1,0.4684769506757052,2.9771691804894975,9.7398410013448,-0.035315910377226395
3,0.2,0.46619512484479536,2.98720618195044,9.751554537012197,-0.03508104113458409
3,0.35,0.4600524061397533,3.0130620206182366,9.784007634154285,-0.03448449003019813
3,0.5,0.4509232438505173,3.0547959542837706,9.81850262319275,-0.03354620805479066
3,0.75,0.43023662372375043,3.1510908227108296,9.912581335731801,-0.03149380043556629
3,1.0,0.40470581890651425,3.280900075402086,10.03701009553859,-0.02895566313040957
4,0.0,0.7654981744410163,2.984488626838733,9.775878267133713,-0.05730759328125474
4,0.1,0.7642387321869302,2.9878522184578222,9.791067992288902,-0.05717933917587664
4,0.2,0.7604893474428784,2.9979154588048353,9.798273753776797,-0.05679762167049908
4,0.35,0.7503973059012657,3.0238372453117104,9.822579916164763,-0.055828402795402986
4,0.5,0.7354004605943849,3.064122395490395,9.857354458086036,-0.05436056908781131
4,0.75,0.7014288379161862,3.1622193422403098,9.951962595655601,-0.05097198469328051
4,1.0,0.6595229109336147,3.292355121519311,10.08188059080608,-0.0468544791593822
