ell,overtone,q10_gain_n64,q50_gain_n64,absolute_q10_gain_n64,real_frequency_shift_n64,damping_shift_n64,monotonic_q10_n64,positive_gain_all_tested_n,max_center_spread_endpoint,reliability,prl_support,comment
0,0,0.3102559559443012,0.28726338627203063,0.3362390101409378,-0.07798344371725774,-0.020059898581109237,True,True,7.877902654631995e-06,caution,False,deep contour touches local window
0,1,0.7560110645193987,0.7059356912955366,0.7822070056890169,-0.14013227232729097,0.0003058229093089171,False,True,0.009874966055870092,caution,False,deep contour touches local window; N=64 susceptibility not monotonic in a/M
1,0,0.2024212181346261,0.20308745643376014,0.22848815884289486,-0.07367120192448351,-0.025024559726030127,True,True,1.89716867562617e-10,usable,True,deep contour touches local window
1,1,0.45475428470062695,0.4457919298231161,0.4809642961705336,-0.09000623793205009,-0.019636306076241894,True,True,6.462215753690759e-06,usable,True,deep contour touches local window
1,2,0.4492359624318816,0.4554815920879598,0.47663048341252434,0.41393874084048643,0.295861085285162,False,True,0.2698033714225118,exploratory,False,deep contour touches local window; N=64 susceptibility not monotonic in a/M; endpoint center spread across N is large
2,0,0.16052047796330626,0.1609739850796963,0.18661301338514225,-0.07294926129543855,-0.025946967519823505,True,True,6.959797367922261e-12,usable,True,deep contour touches local window
2,1,0.3473188585938711,0.3484869494490628,0.37361981034991665,-0.07950646288475116,-0.023785112568762812,True,True,8.033365565644134e-08,usable,True,deep contour touches local window
2,2,0.5499187524404974,0.5346696022114443,0.5759081826747057,-0.09247155583173294,-0.01896503686688078,False,True,0.0008689808959284271,caution,False,deep contour touches local window; N=64 susceptibility not monotonic in a/M
3,0,0.140851651167754,0.1471457120838533,0.16708073429751025,-0.07274864512400614,-0.02625350234154067,True,True,3.2208962695032156e-12,usable,True,trend passes finite-N scalar checks
3,1,0.28525656393984633,0.2883249154526055,0.31124222403822266,-0.07615472650324273,-0.025136419390676124,True,True,8.004234371763565e-09,usable,True,deep contour touches local window
3,2,0.4280714657301523,0.4325605962108998,0.45429894913186253,-0.08285888181902057,-0.022972989939715083,True,True,2.7019207966009593e-05,caution,False,deep contour touches local window
4,0,0.12330945183099473,0.1313819884773153,0.1501253980746,-0.07266709673051375,-0.026389445376145848,True,True,1.9160460501957464e-12,usable,True,trend passes finite-N scalar checks
4,1,0.24716907079069017,0.2500073427888658,0.2736803672039141,-0.07473849987120773,-0.025711998693670468,True,True,2.589697732162525e-09,usable,True,deep contour touches local window
4,2,0.3713433284359322,0.37176090193947253,0.3977424764047335,-0.07884983916058341,-0.024361590175227987,True,True,2.9432065050628946e-06,caution,False,deep contour touches local window
