ell,overtone,a_over_M,spectral_N,center_real,center_imag,leaver_real,leaver_imag,relative_difference,continued_fraction_abs,status
0,0,0.0,64,0.11045493955618489,-0.10489571577707622,0.11045493636871634,-0.1048957122932824,3.099882044083125e-08,1.2509268882771003e-16,ok
0,0,1.0,64,0.10184128299401204,-0.10279151835699521,0.10184128299401204,-0.10279151835699521,0.0,2.016657687447995e-06,ok
0,1,0.0,64,0.08464829263794821,-0.3438351644649663,0.08615890818057687,-0.3480584541826184,0.012666772057344788,2.363628055062491e-15,ok
0,1,1.0,64,0.07278633504196703,-0.3439403171352857,0.07278632119590996,-0.34394033189940715,5.757480504341497e-08,0.00011467806279791029,ok
1,0,0.0,64,0.2929361332750916,-0.09765998890940997,0.29293613326728274,-0.09765998891357816,2.8666021522936782e-11,5.594315114139762e-17,ok
1,0,1.0,64,0.2713551762496049,-0.095216090684103,0.2713551762449194,-0.09521609066571479,6.598537082405165e-11,6.584653551980126e-11,ok
1,1,0.0,64,0.26445118965409664,-0.30625455790470024,0.2644486505967099,-0.30625739154784665,9.403083022989599e-06,6.280369834735101e-16,ok
1,1,1.0,64,0.2406489329566763,-0.3002408496684394,0.2406488047656324,-0.30024077993026727,3.792616653939806e-07,6.632425570362614e-06,ok
1,2,0.0,64,0.22010649213437036,-0.4963764665581758,0.22953931525220225,-0.540133444927427,0.08243667654859868,2.692605570269597e-14,ok
1,2,1.0,64,0.31121709633928807,-0.6432349466640916,nan,nan,nan,nan,failed: RuntimeError
2,0,0.0,64,0.48364387220903693,-0.09675877597674665,0.4836438722107129,-0.09675877597828796,4.616463662518612e-12,3.387999773988765e-16,ok
2,0,1.0,64,0.4483624090013222,-0.09424817915922012,0.44836240900201535,-0.09424817915890168,1.6649474650580062e-12,9.917255154747656e-14,ok
2,1,0.0,64,0.46385060361144476,-0.29560385081459994,0.4638505790197657,-0.2956039369879626,1.629233292323119e-07,1.0937950820210114e-15,ok
2,1,1.0,64,0.426971482811342,-0.2885728799472149,0.4269714895563738,-0.2885729134424083,6.630058728351886e-08,4.584633746904423e-11,ok
2,2,0.0,64,0.43065124010529,-0.5076043739291598,0.4305440543765968,-0.5085584021541703,0.001442191904119326,2.0471501066083613e-15,ok
2,2,1.0,64,0.39082824991188864,-0.49797763826380337,nan,nan,nan,nan,failed: RuntimeError
3,0,0.0,64,0.6753662325355919,-0.0964996277316136,0.6753662325366205,-0.09649962773400958,3.82198108129202e-12,3.3766115072321297e-16,ok
3,0,1.0,64,0.6262342541561231,-0.09396617452900387,0.6262342541564109,-0.09396617452988713,1.4669865947913657e-12,1.2262814116578437e-15,ok
3,1,0.0,64,0.6606715099735484,-0.292284778272507,0.6606714979559624,-0.29228478513841194,1.915821415828283e-08,8.238311188599651e-16,ok
3,1,1.0,64,0.6103582518230284,-0.28493778550433846,0.6103582494443547,-0.2849377890899755,6.3879761386283905e-09,4.112195354217976e-13,ok
3,2,0.0,64,0.6336718001067783,-0.4960165729391187,0.6336258076943231,-0.49600823040312697,5.8086018818085124e-05,6.936895214610187e-15,ok
3,2,1.0,64,0.5811664633096847,-0.4846215891990564,0.5811473868992809,-0.48462894331021417,2.701803478150471e-05,7.442385111773987e-11,ok
4,0,0.0,64,0.8674156417399285,-0.09639169234841126,0.867415641737879,-0.09639169234802258,2.390134287246342e-12,3.3306690738754696e-16,ok
4,0,1.0,64,0.8043830653960524,-0.09384796904846861,0.8043830653957769,-0.0938479690480368,6.325201827605696e-13,3.510833468576701e-16,ok
4,1,0.0,64,0.8558080362284148,-0.29087602701447807,0.8558080351237757,-0.2908760225332744,5.106094740996054e-09,8.005932084973442e-16,ok
4,1,1.0,64,0.7918462274229789,-0.28339702298786174,0.7918462266191317,-0.28339702199219674,1.5215310673343888e-09,4.577566798522237e-16,ok
4,2,0.0,64,0.8336870363424224,-0.4903296036541118,0.8336921325614891,-0.49032489461814666,7.174146797287568e-06,3.2023728339893768e-15,ok
4,2,1.0,64,0.7679509476165589,-0.4783843947991084,0.7679518157875926,-0.4783818813485039,2.939065255230423e-06,6.951502841427679e-13,ok
