ell,a,spectral_n,overtone_i,overtone_j,frequency_distance,normalized_frequency_distance,mode_shape_overlap,possible_coalescence
0,0.0,64,0,1,0.24032903104792686,0.6787007481605146,0.7336264688324815,False
0,0.1,64,0,1,0.247649912725957,0.6815178879146709,0.7248452900780552,False
0,0.2,64,0,1,0.24738050527386138,0.6814944788236651,0.725444298021173,False
0,0.35,64,0,1,0.23928034386566976,0.679382422390523,0.737620390739839,False
0,0.5,64,0,1,0.24277513624938926,0.6831675596735219,0.7386274207877799,False
0,0.75,64,0,1,0.24081296575863106,0.6757235862534475,0.7274226674608485,False
0,1.0,64,0,1,0.24289284294253813,0.6909046982420541,0.7546272033192027,False
1,0.0,64,0,1,0.21053048764352914,0.5203023546486234,0.6995171978797117,False
1,0.0,64,0,2,0.40531344189074836,0.7464494625392153,0.7911270128669757,False
1,0.0,64,1,2,0.19522497880178274,0.3595379906993081,0.9646798681599831,False
1,0.1,64,0,1,0.21050491542020738,0.5205276888500849,0.6997758248211374,False
1,0.1,64,0,2,0.4219794667746122,0.7282620733556752,0.805649186007704,False
1,0.1,64,1,2,0.21213688691018612,0.3661108211669158,0.9517579132279218,False
1,0.2,64,0,1,0.21040662849962247,0.5211516261562092,0.7005194643493051,False
1,0.2,64,0,2,0.42129634230094604,0.7286219697865708,0.8055906126979021,False
1,0.2,64,1,2,0.21153680537858144,0.3658478565835732,0.9522423011976832,False
1,0.35,64,0,1,0.21012822184676228,0.5228234403330135,0.702518810706183,False
1,0.35,64,0,2,0.4582978138653678,0.734834103194149,0.8094423813272844,False
1,0.35,64,1,2,0.2510860218999155,0.40259099246240915,0.9438700766208952,False
1,0.5,64,0,1,0.20971504989044296,0.5253692845185586,0.7055229926873922,False
1,0.5,64,0,2,0.4673111794269099,0.7541102334857511,0.7973444462350774,False
1,0.5,64,1,2,0.2587258611351562,0.4175115600459343,0.9553720224856751,False
1,0.75,64,0,1,0.20871894986945483,0.531281720706498,0.7124020140772761,False
1,0.75,64,0,2,0.48463791314537347,0.7320396474568072,0.8083503280642211,False
1,0.75,64,1,2,0.2851883183157605,0.43077347094808494,0.9297755288642269,False
1,1.0,64,0,1,0.20731142075088327,0.5387775893227248,0.7210142830538067,False
1,1.0,64,0,2,0.5494666861447124,0.7689495839347052,0.7402429618142999,False
1,1.0,64,1,2,0.350178263541668,0.4900559703494489,0.9658574082106641,False
2,0.0,64,0,1,0.19982776901383828,0.3632997863575229,0.677630861881443,False
2,0.0,64,0,2,0.41424910912898655,0.6222996952839833,0.767353651363256,False
2,0.0,64,1,2,0.21458429471436355,0.3223561337144537,0.9511399234964182,False
2,0.1,64,0,1,0.19978308068668144,0.3634803267831655,0.6778603353038216,False
2,0.1,64,0,2,0.4164660004359935,0.6244533885868846,0.7668965198251708,False
2,0.1,64,1,2,0.2168422548284008,0.3251354988754392,0.9512209581125042,False
2,0.2,64,0,1,0.19964860000639303,0.3640182383150585,0.6785441758632821,False
2,0.2,64,0,2,0.4162659197082639,0.625158813426336,0.7670014947250412,False
2,0.2,64,1,2,0.216776274374993,0.32556015770455127,0.951492948123676,False
2,0.35,64,0,1,0.1992799664852695,0.3654763301022929,0.6803919439485161,False
2,0.35,64,0,2,0.4131350674078124,0.6250833158682277,0.7677368000617013,False
2,0.35,64,1,2,0.2140241467090844,0.32382369315728693,0.9523106438108357,False
2,0.5,64,0,1,0.19871485259586802,0.3676726121679388,0.6831569851863105,False
2,0.5,64,0,2,0.41310547579417095,0.628732295667589,0.767951299415378,False
2,0.5,64,1,2,0.2145604447950201,0.3265536017311138,0.9534189381342032,False
2,0.75,64,0,1,0.19735212447835138,0.3727815042326853,0.689504918337202,False
2,0.75,64,0,2,0.4150574058715094,0.6371124579351427,0.7688930735762173,False
2,0.75,64,1,2,0.21781122385333757,0.3343398822234749,0.9552815242633491,False
2,1.0,64,0,1,0.195498493752788,0.37935567689430616,0.6974963739811098,False
2,1.0,64,0,2,0.4078083564752047,0.6442152968807074,0.7700785780766012,False
2,1.0,64,1,2,0.2125010260917649,0.33568809819002515,0.9590140434222546,False
3,0.0,64,0,1,0.19633583484299477,0.27176827254645575,0.6701381798537864,False
3,0.0,64,0,2,0.4016867127544768,0.4991640547824858,0.7567556891630948,False
3,0.0,64,1,2,0.20551308593607417,0.2553849605411648,0.9459056443917117,False
3,0.1,64,0,1,0.19628689797985874,0.2719109080655387,0.6703600264407101,False
3,0.1,64,0,2,0.4015917147981154,0.49944455375108404,0.7567347137806957,False
3,0.1,64,1,2,0.20547031457686055,0.25553572394919477,0.9460329649257124,False
3,0.2,64,0,1,0.19614025720416356,0.2723365800091428,0.671021280633796,False
3,0.2,64,0,2,0.4013319542266146,0.500136938156365,0.7568028858485074,False
3,0.2,64,1,2,0.20535812785945062,0.2559157929277535,0.946312245982863,False
3,0.35,64,0,1,0.19573870870822527,0.2734908935120872,0.6728084155541909,False
3,0.35,64,0,2,0.40061980053201157,0.5019500673290586,0.757040021602616,False
3,0.35,64,1,2,0.20504672962255668,0.25690996701352886,0.9470263144468065,False
3,0.5,64,0,1,0.19512323639434712,0.27522972332833157,0.6754836424039451,False
3,0.5,64,0,2,0.39952115158703394,0.5047879839482463,0.7573112361191787,False
3,0.5,64,1,2,0.20456851239359553,0.25846873573590856,0.9481480252119362,False
3,0.75,64,0,1,0.1936412364400119,0.27927690120070053,0.6816293820962898,False
3,0.75,64,0,2,0.3969134815194578,0.511464910917818,0.7579260007910584,False
3,0.75,64,1,2,0.2034570526648722,0.26217588507821776,0.9506815147877521,False
3,1.0,64,0,1,0.19163038289528875,0.2844901153138682,0.6893722584272529,False
3,1.0,64,0,2,0.39324643518131097,0.5196780408788239,0.7589754957557663,False
3,1.0,64,1,2,0.20180629815394374,0.26668849932052335,0.9536365283788503,False
4,0.0,64,0,1,0.1948304209722229,0.21554672050565288,0.6668766342255271,False
4,0.0,64,0,2,0.39537918102241887,0.4087914818905491,0.7521801757292557,False
4,0.0,64,1,2,0.20067652545900413,0.20748400057609825,0.9432775479663801,False
4,0.1,64,0,1,0.19477971115123255,0.21566238226204099,0.667095116074597,False
4,0.1,64,0,2,0.3952728410323753,0.4089813876947415,0.7522080516820362,False
4,0.1,64,1,2,0.20062089106351372,0.20757866949171694,0.9433673315710772,False
4,0.2,64,0,1,0.19462785147267475,0.21600766576077124,0.667746507626325,False
4,0.2,64,0,2,0.39498944325191737,0.409590200482456,0.7522658752311611,False
4,0.2,64,1,2,0.20049013117496522,0.20790123489536902,0.9436441305679428,False
4,0.35,64,0,1,0.1942121169459436,0.21694407560134574,0.669507177451472,False
4,0.35,64,0,2,0.39422641416660587,0.41125586421702304,0.7524159836968137,False
4,0.35,64,1,2,0.20014521256257395,0.20879091152561718,0.9443903176048916,False
4,0.5,64,0,1,0.19357503718821986,0.218354714779521,0.672143074032886,False
4,0.5,64,0,2,0.3930310157822526,0.4137337556786033,0.7526650605650649,False
4,0.5,64,1,2,0.19958996597802922,0.21010328168503664,0.9454877273181181,False
4,0.75,64,0,1,0.1920418396717769,0.22163849859609955,0.6781998353567208,False
4,0.75,64,0,2,0.390136918099012,0.4194788750606505,0.7532762822155754,False
4,0.75,64,1,2,0.19823616328033355,0.21314538284241483,0.9479476612476964,False
4,1.0,64,0,1,0.18996319684528915,0.22586924705633754,0.6858324431083987,False
4,1.0,64,0,2,0.38625841341642797,0.4269155815368824,0.7540901049798084,False
4,1.0,64,1,2,0.19644607291285934,0.21712378693953194,0.9509310226370614,False
