ell,overtone,a_over_M,spectral_N,window_scale,q10_susceptibility,q50_susceptibility,area_fraction_m10
0,0,0.0,64,0.75,13.522246317571037,13.218256628025976,1.0
0,0,0.0,64,1.25,13.45299099337829,13.02121099383792,1.0
0,0,1.0,64,0.75,13.814773276104198,13.507992713704088,1.0
0,0,1.0,64,1.25,13.762940047050469,13.308400807393765,1.0
0,1,0.0,64,0.75,19.350763785422306,19.05690371044321,1.0
0,1,0.0,64,1.25,19.179071451724916,18.84079798726866,1.0
0,1,1.0,64,0.75,20.08038187785215,19.77758548885741,1.0
0,1,1.0,64,1.25,20.006697777005503,19.535984709864515,1.0
1,0,0.0,64,0.75,10.998519069291646,10.71243552400744,0.9977324263038548
1,0,0.0,64,1.25,10.87819311705491,10.533357509291763,0.8276643990929705
1,0,1.0,64,0.75,11.200703961681839,10.915294536267195,1.0
1,0,1.0,64,1.25,11.08168589921667,10.732961352454211,0.9433106575963719
1,1,0.0,64,0.75,16.12050666435961,15.827202238850505,1.0
1,1,0.0,64,1.25,16.04616201659205,15.629444418940057,1.0
1,1,1.0,64,0.75,16.57097625936706,16.280343826806856,1.0
1,1,1.0,64,1.25,16.497917772449043,16.08074257866563,1.0
1,2,0.0,64,0.75,19.336744856010867,19.0388343248724,1.0
1,2,0.0,64,1.25,19.12617789629181,18.864471292420635,1.0
1,2,1.0,64,0.75,19.782947833087277,19.48738691282539,1.0
1,2,1.0,64,1.25,19.593888940759356,19.330728582695667,1.0
2,0,0.0,64,0.75,9.952313484057688,9.66586385354486,0.07709750566893424
2,0,0.0,64,1.25,9.91123170132924,9.492714632284063,0.027210884353741496
2,0,1.0,64,0.75,10.114136738655537,9.829323099383876,0.2743764172335601
2,0,1.0,64,1.25,10.069767129716306,9.650419563386928,0.2108843537414966
2,1,0.0,64,0.75,14.112203677718693,13.800837627830393,1.0
2,1,0.0,64,1.25,14.088325357917949,13.596260516972515,1.0
2,1,1.0,64,0.75,14.459143291890177,14.146584489789404,1.0
2,1,1.0,64,1.25,14.438995769789754,13.944659349562903,1.0
2,2,0.0,64,0.75,17.835531257761456,17.517284622259876,1.0
2,2,0.0,64,1.25,17.819627953969228,17.306314001023576,1.0
2,2,1.0,64,0.75,18.375897487375422,18.05159285770828,1.0
2,2,1.0,64,1.25,18.368434937567255,17.839419916140194,1.0
3,0,0.0,64,0.75,9.362899302279356,9.064595433319818,0.0022675736961451248
3,0,0.0,64,1.25,9.392224683964107,8.886395503561513,0.0022675736961451248
3,0,1.0,64,0.75,9.506827895765497,9.211537764911624,0.006802721088435374
3,0,1.0,64,1.25,9.534319983757346,9.027141886361758,0.0022675736961451248
3,1,0.0,64,0.75,12.96895818963577,12.639299692456364,1.0
3,1,0.0,64,1.25,13.007249163387561,12.457493357590263,1.0
3,1,1.0,64,0.75,13.255228748079345,12.925854177636046,1.0
3,1,1.0,64,1.25,13.2870435287162,12.736678890993582,1.0
3,2,0.0,64,0.75,16.318592513546765,15.966293803058113,1.0
3,2,0.0,64,1.25,16.350873921252077,15.753279941643157,1.0
3,2,1.0,64,0.75,16.750758013509856,16.3946255980276,1.0
3,2,1.0,64,1.25,16.783889103611497,16.192608168364053,1.0
4,0,0.0,64,0.75,9.010518429483675,8.668412861230154,0.0022675736961451248
4,0,0.0,64,1.25,9.090617939619523,8.491784353696096,0.0022675736961451248
4,0,1.0,64,0.75,9.13748682739141,8.803833258878825,0.0022675736961451248
4,0,1.0,64,1.25,9.207212575325896,8.627385969865053,0.0022675736961451248
4,1,0.0,64,0.75,12.259354823481626,11.878496007200441,1.0
4,1,0.0,64,1.25,12.335293262087436,11.693010511075899,1.0
4,1,1.0,64,0.75,12.508574045389373,12.133152328749945,1.0
4,1,1.0,64,1.25,12.576985259659896,11.941458939302398,1.0
4,2,0.0,64,0.75,15.292939456672757,14.901265903160402,1.0
4,2,0.0,64,1.25,15.354327459705313,14.69082509516295,1.0
4,2,1.0,64,0.75,15.665078535101786,15.273326382997771,1.0
4,2,1.0,64,1.25,15.725090988574804,15.071545357947267,1.0
