a_over_M,N,omega_spectral_real,omega_spectral_imag,residual_at_spectral_mode
0.0,24,0.4836438721842864,-0.0967587760466876,1.399751993560706e-32
0.0,32,0.48364387220975075,-0.09675877597632186,5.170691048594673e-33
0.0,48,0.483643872241951,-0.09675877605645693,3.5646480470203584e-31
0.0,64,0.4836438724947166,-0.09675877599443507,2.5187441060065913e-31
0.2,24,0.4820336878948227,-0.09665386079013573,1.762666005031831e-32
0.2,32,0.48203368792121887,-0.09665386072194984,5.6836173394383604e-33
0.2,48,0.4820336879420489,-0.09665386076762439,1.2299433936967657e-31
0.2,64,0.48203368886473136,-0.09665386083263755,2.6813635579824048e-30
0.5,24,0.47388692635595875,-0.09610918276781275,5.6228054362641397e-33
0.5,32,0.4738869263726282,-0.09610918270603745,1.4088621266005467e-32
0.5,48,0.47388692635364277,-0.096109182618448,3.2860859923399832e-31
0.5,64,0.4738869256633045,-0.09610918289367959,1.3591369063035657e-30
1.0,24,0.4483624090090465,-0.09424817921036811,2.3311046609884534e-32
1.0,32,0.44836240900008284,-0.09424817915824629,2.9470487313427566e-33
1.0,48,0.44836240887236506,-0.09424817901609682,9.82041217981653e-31
1.0,64,0.44836240996690824,-0.09424817856400139,1.9331699360468457e-30
